model_name,params,param_count,train_time,device,train,scratch,check,alpha,batch_size,context_length,vocab_size,max_iters,Nx_blocks,n_heads,n_embeddings,ffn_hid_dim,non_linearity,dropout,token_model_file,version,log,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc
07_00_1_myt-tiny-tokenizer_1_plain,1.07 M,1071104,0:00:04.508966,cuda,True,True,False,0.0003,256,128,1024,100,4,8,128,,gelu,0.5,../data/wikitext/bpe1024.model,v0.1.1,debug,5.4766998291015625,239.05647691548253,0.075347900390625,7.901207683882258,5.645151138305664,282.91631248375893,0.051361083984375,8.14423155230227,5.8644537925720215,352.2896803064544,0.035858154296875,8.46061840406613
07_00_1_myt-tiny-tokenizer_3_ultra,1.07 M,1071104,0:00:08.622578,cuda,True,True,False,0.0003,256,128,1024,100,4,8,128,,gelu,0.5,../data/wikitext/bpe1024.model,v0.1.3,debug,5.510983467102051,247.39431163273844,0.076568603515625,7.950668518409195,5.74632453918457,313.0379844303355,0.046478271484375,8.290193916020138,5.943345069885254,381.20796644094634,0.02606201171875,8.574434458615325
07_00_1_myt-tiny-tokenizer_2_prod,1.07 M,1071104,0:00:08.637584,cuda,True,True,False,0.0003,256,128,1024,100,4,8,128,,gelu,0.5,../data/wikitext/bpe1024.model,v0.1.2,debug,5.468149662017822,237.02121739888375,0.08294677734375,7.888872400231774,5.722317695617676,305.6124193245634,0.055511474609375,8.255559361858781,5.927594184875488,375.2506433148608,0.032379150390625,8.551710734922125
07_00_1_myt-tiny-tokenizer,1.07 M,1071104,0:00:05.897979,cuda,True,True,False,0.0003,256,128,1024,100,4,8,128,,gelu,0.5,../data/wikitext/bpe1024.model,v0.1.0,debug,5.472586631774902,238.0752099095803,0.080657958984375,7.895273594496888,5.742897987365723,311.96717918795923,0.047821044921875,8.285250446703737,5.937579154968262,379.01627835630586,0.029815673828125,8.566116001758393
07_00_1_myt-tiny,1.07 M,1071104,0:00:04.030470,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,,v0.1.3,debug,5.864540100097656,352.32008686920705,0.031280517578125,8.460742919505353,5.929190635681152,375.85019095352544,0.0263671875,8.55401392658248,5.893776893615723,362.77285464153937,0.02484130859375,8.502922696525363
07_00_1_myt-tiny,1.07 M,1071104,0:00:04.069700,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,,v0.1.2,debug,5.852973461151123,348.2684049733964,0.028106689453125,8.444055786857437,5.911568641662598,369.28497710921596,0.024658203125,8.528590763201336,5.875957012176514,356.36554369476545,0.02655029296875,8.477214041943787
07_00_1_myt-tiny,1.07 M,1071104,0:00:04.094864,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,,v0.1.1,debug,5.875323295593262,356.1397804825277,0.02520751953125,8.4762997821718,5.909115791320801,368.3802863160412,0.0233154296875,8.525052048177182,5.86739444732666,353.32716732779414,0.022430419921875,8.464860872097614
07_00_1_myt-tiny,1.07 M,1071104,0:00:04.069339,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,,v0.1.3,debug,5.885470390319824,359.7719614480134,0.026031494140625,8.490938945413243,5.901793479919434,365.69274266924265,0.02587890625,8.514488185830585,5.8969502449035645,363.92588887073526,0.0245361328125,8.507500874691331
07_00_1_myt-tiny,1.07 M,1071104,0:00:04.058509,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,,v0.1.2,debug,5.9114227294921875,369.2310978676202,0.02142333984375,8.52838025643668,5.921746730804443,373.06278534650323,0.020263671875,8.543274641932003,5.903545379638672,366.33396119372907,0.020233154296875,8.517015642867666
07_00_1_myt-tiny,1.07 M,1071104,0:00:04.038127,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,,v0.1.1,debug,5.866213321685791,352.9100899097512,0.0235595703125,8.463156867992865,5.8930206298828125,362.4986064033589,0.021331787109375,8.501831638588289,5.895086765289307,363.24835187997456,0.02069091796875,8.504812441893044
07_00_2_myt-tiny,1.07 M,1071104,0:00:25.713004,cuda,True,True,False,0.0003,256,128,1024,1000,4,8,128,,gelu,0.5,,v0.2,debug,4.264742755889893,71.14661557133633,0.1152740478515625,6.152723224589479,4.338385391235351,76.58378660597337,0.1143524169921875,6.258967089400367,4.323020124435425,75.41605055449723,0.1135955810546875,6.2367996951861775
07_00_2_myt-tiny,1.07 M,1071104,0:04:00.645284,cuda,True,True,False,0.0003,256,128,1024,10000,4,8,128,,gelu,0.5,,v0.2,debug,3.213190336227417,24.858266079072088,0.2752349853515625,4.635653763507635,3.3943617296218873,29.7956297365815,0.255302734375,4.897028834308782,3.3780282163619995,29.312915365626022,0.25709197998046873,4.8734645557284475
07_00_1_myt-tiny,1.07 M,1071104,0:00:04.016138,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,,v0.1.4,debug,5.600618362426758,270.5936806681219,0.0721435546875,8.07998433738475,5.592995643615723,268.53886272776367,0.0728759765625,8.06898707875798,5.5904083251953125,267.8449652356054,0.0718994140625,8.065254367303654
07_00_1_myt-tiny,1.07 M,1071104,0:00:25.738805,cuda,True,True,False,0.0003,256,128,50257,1000,4,8,128,,gelu,0.5,,v0.1,debug,4.299043607711792,73.6293414806086,0.1148284912109375,6.202208893411201,4.290393400192261,72.99517916939035,0.115728759765625,6.189729281920112,4.3044508934021,74.02855472250145,0.1135528564453125,6.210009957661278
